"sentiment","avg_noun_sentiment","avg_verb_sentiment","avg_adverb_sentiment","avg_adjective_sentiment","avg_na_sent","avg_tot_sent","last_punctuation","comma_count","._count","X._count","X._count.1"
0,-0.026849004957411,0,0,0.0634765625,0,-0.010426174510609,"?",1,1,0,0
-0.5,0,0,0,0,0,0,"",0,0,0,0
-0.5,0.00520833333333333,0.125,0,0.172607421875,-0.5,-0.0311279296875,"",0,0,0,0
0,-0.000324242766769876,0,0,0.0608723958333333,0,0.0150019371138201,"?",1,0,1,0
0,0.0638547956943512,0,0,0,0,0.0638547956943512,"?",1,0,0,0
-1,0.00847335088820684,0.625,0,0.0762186284280486,-0.75,0.0288107768048226,"",0,3,0,0
0,-0.0779883861541748,0,0,0,0,-0.0519922574361165,"",0,0,0,0
-0.5,-0.0591331845238095,-0.375,0,-0.0239454905192057,0,-0.0801635578700474,"",0,0,0,0
0,0.0357142857142857,0,0.125,0,0,0.0331632653061224,"",0,0,0,0
0,-0.025,0.123046875,0,0.021484375,0,0.00694444444444444,"?",1,0,0,0
0,0,0,0,-0.15625,0,-0.0520833333333333,"?",1,0,0,0
0,0.01953125,0,0,0.0770111083984375,0,0.042523193359375,"?",1,0,0,0
0,0,0,0,0,0,0,"",0,0,0,0
0,0,0,0,0.015625,0,0.00446428571428571,"?",1,0,0,0
0,0.00686931655945951,0,0,0.002197265625,0,0.0036266328737838,"",0,0,0,0
0,-0.0293798446655273,0,0,0.001953125,0,-0.0231132507324219,"",0,0,0,0
0,0.0190552949905395,-0.125,0,0,0,-0.0221033607210432,"?",1,0,0,0
0,-0.0195865631103516,0,0,-0.0199466049671173,0,-0.019676573574543,"",0,0,0,0
0,-0.0666666666666667,0,0,0,0,-0.0666666666666667,"",0,0,0,0
0,0,0,0,0.172363279387355,0,0.034472655877471,"",0,0,0,0
0,0.0638547956943512,0,0,0,0,0.0638547956943512,"?",1,0,0,0
0,-0.15625,0,0,0.0638239290565252,0,-0.0242056425660849,"",0,0,0,0
0,0.0625,0,0,0.0114746888478597,0,0.0193848133087158,"?",1,0,1,0
0,0.000162760416666667,0.236328125,0,0,0,0.0592041015625,"",0,0,0,0
0,0.00048828125,0,0,0,0,0.000325520833333333,"",0,0,0,0
0,0,0,0,0,0,0,"",0,0,0,0
-0.5,0.105326533317566,-0.25,0,0.0044136047363281,-0.5,-0.071601132551829,"?",1,0,0,0
0,-0.0833104451497395,0,0,0,0,-0.0833104451497395,"",0,0,0,0
0.5,0.13307586312294,0,0,0,0,0.13307586312294,"",0,0,0,0
0,0.0638547956943512,0,0,0,0,0.0638547956943512,"?",1,0,0,0
-1,-1,-0.545454545454545,0,0.03125,0,-0.504734848484849,"",0,0,0,0
0,-0.0622267723083496,0,0,0,0,-0.0311133861541748,"",0,0,0,0
0,-0.00390625,0.125,0,0,0,0.029296875,"",0,0,0,0
0,-0.0590220557318793,0,0,0,0,-0.050590333484468,"",0,0,0,0
0,0.0960286458333333,0,0,0,0,0.0960286458333333,"",0,0,0,0
0,-0.0130208333333333,0,0,0,0,-0.0130208333333333,"",0,0,0,0
-0.5,-0.0315999984741211,-0.25,0.25,-0.0756138392857143,-0.5,-0.0853134935552424,"?",1,0,0,0
0,-0.041015625,-0.0833333333333333,0,0,0,-0.0494791666666667,"",0,0,0,0
0.5,0.3125,0,0,-0.15625,0,0.15625,"",0,0,0,0
0,0.0034877232142857,-0.25,0,0.00390625,0,-0.0200385551948052,NA,1,0,1,0
0,0.125,0,0,0,0,0.125,"",0,0,0,0
0,-0.0391731262207031,0,0,0,0,-0.0293798446655273,"?",2,0,0,0
0,-0.058349609375,0,0,-0.0147705078125,0,-0.0438232421875,"",0,0,0,0
-0.5,-0.25,0,-0.375,0.232058258727193,0,-0.130980580424269,"",0,0,0,0
0,-0.015625,0,0,0.136985778808594,0,0.0606803894042968,"",0,0,0,0
-0.5,-0.0858968098958333,-0.25,0,-0.287109375,-0.5,-0.215799967447917,"",0,0,0,0
0,-0.026707649230957,0,0,0,0,-0.0207726160685221,"?",1,0,0,0
0,0,0,0,0.0110677083333333,0,0.00553385416666667,"",0,0,0,0
0,0.000325520833333333,0,0,-0.03125,0,-0.007568359375,"",0,0,0,0
0,0.171195652173913,0,0,0.05078125,0,0.119589479813665,NA,0,0,1,0
0,0,0,0,0,0,0,"",0,0,0,0
0,0.015625,0,0,0,0,0.015625,"",0,0,0,0
0,0.0234375,0.125,0,-0.57958984375,0,-0.0601399739583333,"",0,0,0,0
0,-0.333333333333333,0,0,-0.041229248046875,0,-0.138597276475694,"",0,0,0,0
0,0.0316163897226715,0,0,-0.236358642578125,0,-0.0577086210442606,"",0,0,0,0
0.5,0.0833333333333333,0,0.1953125,0.232058258727193,0,0.124742584303021,"?",1,0,0,0
0,0,0,0,0,0,0,"",0,0,0,0
0,0.0478515625,0,0,0,0,0.0478515625,"",0,0,0,0
0,0.00048828125,0,0,0,0,0.000325520833333333,"",0,0,0,0
0,-0.0208333333333333,0,0,-0.03125,0,-0.0234375,"",0,0,0,0
0,-0.043212890625,0,0,0,0,-0.043212890625,"?",1,0,0,0
0,0,0,0,-0.0145263671875,0,-0.0029052734375,"",0,0,0,0
0,0.0210775931484477,0,0,0,0,0.0126465558890686,"",0,0,0,0
0,-0.0157104265253565,0,0,0,0,-0.0130920221044638,"",0,0,0,0
0,-0.0703125,0,0,0.138671875,0,-0.000651041666666667,"?",1,0,0,0
0,-0.03125,0,0,0,0,-0.0208333333333333,"",0,0,0,0
0.5,0.13307586312294,0,0,0,0,0.13307586312294,"",0,0,0,0
0,0,0,0,0,0,0,"",0,2,0,0
0,-0.000324242766769876,0,0,0.0608723958333333,0,0.0150019371138201,"?",1,0,1,0
